profile,reward,steps,terminal_bad,action_decrease_count,action_maintain_count,action_increase_count,map_target_ratio,hypotension_rate,severe_hypotension_rate,lactate_high_rate,action_switch_rate,model,seed,rep
mild_risk,-45.85,12,1.0,5,5,2,0.0,0.6666666666666666,0.08333333333333333,0.0,0.75,Random,1,0
mild_risk,-22.0,17,1.0,7,6,4,0.0,0.17647058823529413,0.058823529411764705,0.0,0.7058823529411765,Random,1,1
mild_risk,3.149999999999999,24,0.0,8,8,8,0.25,0.0,0.0,0.0,0.875,Random,1,2
mild_risk,-17.1,24,0.0,5,7,12,0.125,0.0,0.0,0.0,0.75,Random,1,3
mild_risk,8.95,24,0.0,5,9,10,0.4583333333333333,0.0,0.0,0.0,0.625,Random,1,4
mild_risk,3.35,24,0.0,8,6,10,0.25,0.0,0.0,0.0,0.7083333333333334,Random,1,5
mild_risk,-6.8000000000000025,24,0.0,5,8,11,0.2916666666666667,0.0,0.0,0.0,0.5833333333333334,Random,1,6
mild_risk,4.1,24,0.0,8,6,10,0.4166666666666667,0.0,0.0,0.0,0.5833333333333334,Random,1,7
mild_risk,-20.5,6,1.0,4,2,0,0.0,0.5,0.16666666666666666,0.0,0.8333333333333334,Random,1,8
mild_risk,-29.250000000000004,24,0.0,8,10,6,0.125,0.25,0.0,0.0,0.625,Random,1,9
mild_risk,-31.650000000000002,17,1.0,6,8,3,0.0,0.29411764705882354,0.058823529411764705,0.0,0.5882352941176471,Random,1,10
mild_risk,-9.95,24,0.0,6,5,13,0.3333333333333333,0.08333333333333333,0.0,0.0,0.7083333333333334,Random,1,11
mild_risk,-16.9,12,1.0,6,4,2,0.3333333333333333,0.25,0.08333333333333333,0.0,0.75,Random,1,12
mild_risk,-6.050000000000001,24,0.0,10,6,8,0.08333333333333333,0.041666666666666664,0.0,0.0,0.7916666666666666,Random,1,13
mild_risk,10.949999999999996,24,0.0,7,10,7,0.5416666666666666,0.0,0.0,0.0,0.7916666666666666,Random,1,14
mild_risk,-26.0,24,0.0,10,7,7,0.25,0.25,0.0,0.0,0.6666666666666666,Random,1,15
mild_risk,-5.850000000000003,24,0.0,8,10,6,0.4583333333333333,0.125,0.0,0.0,0.7083333333333334,Random,1,16
mild_risk,14.399999999999997,24,0.0,8,7,9,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,Random,1,17
mild_risk,-20.45,6,1.0,5,1,0,0.0,0.5,0.16666666666666666,0.0,0.5,Random,1,18
mild_risk,-32.74999999999999,24,0.0,9,8,7,0.0,0.25,0.0,0.0,0.7916666666666666,Random,1,19
moderate_risk,-20.15,4,1.0,3,1,0,0.0,0.75,0.25,0.0,0.25,Random,1,0
moderate_risk,-31.5,16,1.0,4,9,3,0.0,0.3125,0.0625,0.0,0.5625,Random,1,1
moderate_risk,-20.6,19,1.0,7,7,5,0.3157894736842105,0.21052631578947367,0.05263157894736842,0.0,0.7894736842105263,Random,1,2
moderate_risk,-29.250000000000004,24,0.0,9,7,8,0.125,0.25,0.0,0.0,0.625,Random,1,3
moderate_risk,-45.5,9,1.0,5,2,2,0.0,0.8888888888888888,0.1111111111111111,0.0,0.8888888888888888,Random,1,4
moderate_risk,-46.150000000000006,15,1.0,6,5,4,0.0,0.5333333333333333,0.06666666666666667,0.0,0.6,Random,1,5
moderate_risk,-50.6,12,1.0,6,3,3,0.0,0.75,0.08333333333333333,0.0,0.5,Random,1,6
moderate_risk,6.6000000000000005,24,0.0,7,6,11,0.5833333333333334,0.0,0.0,0.0,0.5833333333333334,Random,1,7
moderate_risk,-37.74999999999999,24,0.0,7,9,8,0.0,0.2916666666666667,0.0,0.0,0.875,Random,1,8
moderate_risk,-36.150000000000006,13,1.0,6,5,2,0.0,0.46153846153846156,0.07692307692307693,0.0,0.6923076923076923,Random,1,9
moderate_risk,-0.2499999999999991,24,0.0,3,8,13,0.5416666666666666,0.0,0.0,0.0,0.625,Random,1,10
moderate_risk,-15.15,3,1.0,3,0,0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,Random,1,11
moderate_risk,0.9499999999999993,24,0.0,5,7,12,0.375,0.0,0.0,0.0,0.7083333333333334,Random,1,12
moderate_risk,-25.2,5,1.0,3,2,0,0.0,0.8,0.2,0.0,0.6,Random,1,13
moderate_risk,-2.95,24,0.0,7,6,11,0.375,0.0,0.0,0.0,0.7916666666666666,Random,1,14
moderate_risk,-19.349999999999998,19,1.0,6,8,5,0.3684210526315789,0.21052631578947367,0.05263157894736842,0.0,0.631578947368421,Random,1,15
moderate_risk,-4.8500000000000005,24,0.0,9,6,9,0.125,0.041666666666666664,0.0,0.0,0.7083333333333334,Random,1,16
moderate_risk,-32.5,22,1.0,7,10,5,0.0,0.22727272727272727,0.045454545454545456,0.0,0.7727272727272727,Random,1,17
moderate_risk,-13.700000000000001,24,0.0,7,6,11,0.3333333333333333,0.08333333333333333,0.0,0.0,0.6666666666666666,Random,1,18
